"type","varname","R07","R08","R09","R10","is.available","values"
"Likert","imwbcnt",TRUE,TRUE,TRUE,TRUE,TRUE,"0,1,2,3,4,5,6,7,8,9,10"
"Likert","happy",TRUE,TRUE,TRUE,TRUE,TRUE,"0,1,2,3,4,5,6,7,8,9,10"
"Likert","aesfdrk",TRUE,TRUE,TRUE,TRUE,TRUE,"1,2,3,4"
"Likert","health",TRUE,TRUE,TRUE,TRUE,TRUE,"1,2,3,4,5"
"Likert","rlgdgr",TRUE,TRUE,TRUE,TRUE,TRUE,"0,1,2,3,4,5,6,7,8,9,10"
"Likert","wkdcorga",TRUE,TRUE,TRUE,TRUE,TRUE,"0,1,2,3,4,5,6,7,8,9,10"
"Likert","iorgact",TRUE,TRUE,TRUE,TRUE,TRUE,"0,1,2,3,4,5,6,7,8,9,10"
"Binary","vote",TRUE,TRUE,TRUE,TRUE,TRUE,"1,2,3"
"Binary","clsprty",TRUE,TRUE,TRUE,TRUE,TRUE,"1,2"
"Binary","crmvct",TRUE,TRUE,TRUE,TRUE,TRUE,"1,2"
"Binary","rlgblg",TRUE,TRUE,TRUE,TRUE,TRUE,"1,2"
"Binary","rlgblge",TRUE,TRUE,TRUE,TRUE,TRUE,"1,2"
"Binary","dscrgrp",TRUE,TRUE,TRUE,TRUE,TRUE,"1,2"
"Binary","dscrrce",TRUE,TRUE,TRUE,TRUE,TRUE,"0,1"
"Binary","dscrntn",TRUE,TRUE,TRUE,TRUE,TRUE,"0,1"
"Binary","dscrrlg",TRUE,TRUE,TRUE,TRUE,TRUE,"0,1"
"Binary","dscrlng",TRUE,TRUE,TRUE,TRUE,TRUE,"0,1"
"Binary","dscretn",TRUE,TRUE,TRUE,TRUE,TRUE,"0,1"
"Binary","dscrage",TRUE,TRUE,TRUE,TRUE,TRUE,"0,1"
"Binary","dscrgnd",TRUE,TRUE,TRUE,TRUE,TRUE,"0,1"
"Binary","dscrsex",TRUE,TRUE,TRUE,TRUE,TRUE,"0,1"
"Binary","dscrdsb",TRUE,TRUE,TRUE,TRUE,TRUE,"0,1"
"Binary","dscroth",TRUE,TRUE,TRUE,TRUE,TRUE,"0,1"
"Binary","dscrdk",TRUE,TRUE,TRUE,TRUE,TRUE,"0,1"
"Binary","dscrref",TRUE,TRUE,TRUE,TRUE,TRUE,"0,1"
"Binary","dscrnap",TRUE,TRUE,TRUE,TRUE,TRUE,"0,1"
"Binary","dscrna",TRUE,TRUE,TRUE,TRUE,TRUE,"0,1"
"Binary","ctzcntr",TRUE,TRUE,TRUE,TRUE,TRUE,"1,2"
"Binary","brncntr",TRUE,TRUE,TRUE,TRUE,TRUE,"1,2"
"Binary","facntr",TRUE,TRUE,TRUE,TRUE,TRUE,"1,2"
"Binary","mocntr",TRUE,TRUE,TRUE,TRUE,TRUE,"1,2"
"Binary","gndr",TRUE,TRUE,TRUE,TRUE,TRUE,"1,2"
"Binary","crpdwk",TRUE,TRUE,TRUE,TRUE,TRUE,"1,2"
"Binary","pdjobev",TRUE,TRUE,TRUE,TRUE,TRUE,"1,2"
"Binary","emplrel",TRUE,TRUE,TRUE,TRUE,TRUE,"1,2,3"
"Binary","wrkac6m",TRUE,TRUE,TRUE,TRUE,TRUE,"1,2"
"Binary","uemp3m",TRUE,TRUE,TRUE,TRUE,TRUE,"1,2"
"Binary","uemp12m",TRUE,TRUE,TRUE,TRUE,TRUE,"1,2"
"Binary","uemp5yr",TRUE,TRUE,TRUE,TRUE,TRUE,"1,2"
"Binary","atncrse",TRUE,TRUE,TRUE,TRUE,TRUE,"1,2"
"Binary","lvgptne",FALSE,FALSE,FALSE,FALSE,FALSE,""
"Binary","dvrcdev",FALSE,FALSE,FALSE,FALSE,FALSE,""
"Binary","chldhhe",TRUE,TRUE,TRUE,TRUE,TRUE,"1,2"
